fundingInterval,fundingRate,fundingRateDaily,symbol,timestamp
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-03-02 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.00040899999999999997,0.001227,XBTUSD,2020-03-02 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-03-02 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-03-01 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-03-01 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-03-01 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000136,0.000408,XBTUSD,2020-02-29 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000202,0.000606,XBTUSD,2020-02-29 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-29 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-28 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-28 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-28 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-27 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-27 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.00011999999999999999,0.00036,XBTUSD,2020-02-27 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0007440000000000001,0.002232,XBTUSD,2020-02-26 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000362,0.0010860000000000002,XBTUSD,2020-02-26 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000404,0.001212,XBTUSD,2020-02-26 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000171,0.000513,XBTUSD,2020-02-25 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-25 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-25 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-24 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-24 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-24 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-23 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-23 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-23 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-22 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-22 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-22 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-21 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-21 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-21 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-20 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-20 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000226,0.000678,XBTUSD,2020-02-20 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0006519999999999999,0.0019560000000000003,XBTUSD,2020-02-19 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.00056,0.00168,XBTUSD,2020-02-19 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000168,0.000504,XBTUSD,2020-02-19 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-18 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-18 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000412,0.001236,XBTUSD,2020-02-18 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000538,0.001614,XBTUSD,2020-02-17 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000261,0.0007830000000000001,XBTUSD,2020-02-17 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.00032599999999999996,0.000978,XBTUSD,2020-02-17 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-16 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-16 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-16 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-15 20:00:00+00:00
