,Date,Mining Revenue
174,2019-08-23,18244786.7421
175,2019-08-22,18133519.9256
176,2019-08-21,21381940.8221
177,2019-08-20,22512416.2143
178,2019-08-19,16497323.4009
179,2019-08-18,16818757.3806
180,2019-08-17,20175209.2411
181,2019-08-16,20403806.3046
182,2019-08-15,20751478.0271
183,2019-08-14,23339417.3416
184,2019-08-13,19835024.1828
185,2019-08-12,22402406.2329
186,2019-08-11,22285954.366
187,2019-08-10,22823177.0108
188,2019-08-09,22052437.226
189,2019-08-08,23489547.2769
190,2019-08-07,24239820.6588
191,2019-08-06,22256372.325
192,2019-08-05,23105969.6977
193,2019-08-04,23901417.8953
194,2019-08-03,22617508.8714
195,2019-08-02,18606541.3942
196,2019-08-01,21676009.1554
197,2019-07-31,17750997.0401
198,2019-07-30,20887751.4847
199,2019-07-29,20994348.8071
200,2019-07-28,18834366.1429
201,2019-07-27,20745948.0012
202,2019-07-26,19605754.2098
203,2019-07-25,17345757.0026
204,2019-07-24,18769327.2033
205,2019-07-23,21529384.3624
206,2019-07-22,20103997.7423
207,2019-07-21,24399901.5665
208,2019-07-20,16208139.750999998
209,2019-07-19,15933222.4948
210,2019-07-18,16501101.4444
211,2019-07-17,22149573.040999997
212,2019-07-16,19638311.2812
213,2019-07-15,20182908.1298
214,2019-07-14,20609810.0302
215,2019-07-13,24773188.3315
216,2019-07-12,19960968.608
217,2019-07-11,21508972.6758
218,2019-07-10,25335914.8684
219,2019-07-09,27968213.8393
220,2019-07-08,22174981.6766
221,2019-07-07,26335706.9789
222,2019-07-06,27132379.4819
223,2019-07-05,25608368.4263
224,2019-07-04,25660429.8291
225,2019-07-03,21634656.180999998
226,2019-07-02,20510124.417999998
227,2019-07-01,23170049.1635
228,2019-06-30,27405858.8447
229,2019-06-29,25937334.7871
230,2019-06-28,23684931.4245
231,2019-06-27,28602342.1291
232,2019-06-26,22012700.0893
233,2019-06-25,25683149.7809
234,2019-06-24,25447586.803000003
235,2019-06-23,20226178.7284
236,2019-06-22,17538287.9155
237,2019-06-21,17906834.419
238,2019-06-20,21219685.8901
239,2019-06-19,19759220.1016
240,2019-06-18,16680372.7946
241,2019-06-17,15480924.6967
242,2019-06-16,16609185.0992
243,2019-06-15,18846894.0773
244,2019-06-14,16311181.0856
245,2019-06-13,14041153.3883
246,2019-06-12,14984664.3563
247,2019-06-11,16318423.0158
248,2019-06-10,15040475.209
249,2019-06-09,12882272.7216
250,2019-06-08,16904713.8524
251,2019-06-07,16576546.9154
252,2019-06-06,16774166.5205
253,2019-06-05,17028462.3207
254,2019-06-04,14378777.9286
255,2019-06-03,15462127.8066
256,2019-06-02,17500366.3832
257,2019-06-01,13928405.373
258,2019-05-31,18924858.1213
259,2019-05-30,20660475.7497
260,2019-05-29,20098452.3035
261,2019-05-28,20943626.1747
262,2019-05-27,17530637.7421
263,2019-05-26,15115205.1346
264,2019-05-25,16833084.3068
265,2019-05-24,16469421.0512
266,2019-05-23,18104557.647
267,2019-05-22,16828129.8548
268,2019-05-21,17411194.2865
269,2019-05-20,17128952.0847
270,2019-05-19,14984659.853
271,2019-05-18,15398528.2664
272,2019-05-17,16642489.0435
273,2019-05-16,16983774.4919
274,2019-05-15,16211651.6224
275,2019-05-14,16443665.5227
276,2019-05-13,15580744.7154
277,2019-05-12,11877938.2791
278,2019-05-11,10770042.5755
279,2019-05-10,12149462.7589
280,2019-05-09,11731703.7301
281,2019-05-08,10026818.2872
282,2019-05-07,11100910.0764
283,2019-05-06,9591032.60781
284,2019-05-05,10035261.3673
285,2019-05-04,11122649.2294
286,2019-05-03,12941749.3454
287,2019-05-02,11945018.6432
288,2019-05-01,9672352.74233
289,2019-04-30,11244134.7807
290,2019-04-29,10771720.9486
291,2019-04-28,9112041.03117
292,2019-04-27,10183521.9483
293,2019-04-26,10225360.6554
294,2019-04-25,12202481.9131
295,2019-04-24,8538019.90241
296,2019-04-23,9411111.82672
297,2019-04-22,11248346.3029
298,2019-04-21,9275897.46327
299,2019-04-20,10531918.6568
300,2019-04-19,10319254.175
301,2019-04-18,9679415.78377
302,2019-04-17,9626718.55528
303,2019-04-16,9812670.32039
304,2019-04-15,8025830.56805
305,2019-04-14,8912797.68267
306,2019-04-13,10032844.6938
307,2019-04-12,10673185.0684
308,2019-04-11,10332304.7364
309,2019-04-10,9214713.99634
310,2019-04-09,10509444.2188
311,2019-04-08,9465714.63769
312,2019-04-07,9151289.679960001
313,2019-04-06,10526385.5093
314,2019-04-05,9872137.44577
315,2019-04-04,9794906.73422
316,2019-04-03,9796335.10709
317,2019-04-02,7260086.68772
318,2019-04-01,7280099.53845
319,2019-03-31,7321449.750260001
320,2019-03-30,7807462.600039999
321,2019-03-29,7609348.210510001
322,2019-03-28,7721974.785080001
323,2019-03-27,6780907.83754
324,2019-03-26,7512795.861160001
325,2019-03-25,7499624.087439999
326,2019-03-24,7382484.151110001
327,2019-03-23,8113657.07201
328,2019-03-22,7388901.05849
329,2019-03-21,8742662.153280001
330,2019-03-20,8830120.09324
331,2019-03-19,8269486.75644
332,2019-03-18,7297849.33901
333,2019-03-17,8496146.10726
334,2019-03-16,7723228.791789999
335,2019-03-15,7600598.59425
336,2019-03-14,6637474.19377
337,2019-03-13,7088005.70445
338,2019-03-12,6977449.87655
339,2019-03-11,6690849.40827
340,2019-03-10,7087594.992810001
341,2019-03-09,7193574.076389999
342,2019-03-08,7588198.879869999
