,Date,Hashrate_Price_Multiple
176,2019-08-21,77452265.2327
177,2019-08-20,82514504.7904
178,2019-08-19,62740159.349
179,2019-08-18,63535915.7538
180,2019-08-17,72967028.2485
181,2019-08-16,77930771.6667
182,2019-08-15,75448899.9576
183,2019-08-14,77930771.6667
184,2019-08-13,66017787.4629
185,2019-08-12,75945274.2994
186,2019-08-11,74952525.6158
187,2019-08-10,72967028.2485
188,2019-08-09,70485156.5393
189,2019-08-08,75945274.2994
190,2019-08-07,79916269.034
191,2019-08-06,70305379.0081
192,2019-08-05,74828989.1705
193,2019-08-04,77517455.8473
194,2019-08-03,75725144.7295
195,2019-08-02,63627044.6839
196,2019-08-01,76621300.2884
197,2019-07-31,63627044.6839
198,2019-07-30,75277066.95
199,2019-07-29,78413611.4063
200,2019-07-28,68107822.4786
201,2019-07-27,74380911.3911
202,2019-07-26,67211666.9196
203,2019-07-25,62282811.3455
204,2019-07-24,64212845.1846
205,2019-07-23,71191928.9727
206,2019-07-22,67136692.5122
207,2019-07-21,79752983.7225
208,2019-07-20,53168655.815
209,2019-07-19,54520401.3019
210,2019-07-18,59927383.2491
211,2019-07-17,72994256.2884
212,2019-07-16,65784947.0254
213,2019-07-15,65334365.1964
214,2019-07-14,63532037.8807
215,2019-07-13,73895419.9463
216,2019-07-12,58125055.9334
217,2019-07-11,58125055.9334
218,2019-07-10,65740170.4585
219,2019-07-09,70209738.5775
220,2019-07-08,60348820.238000005
221,2019-07-07,70209738.5775
222,2019-07-06,74548542.6469
223,2019-07-05,65870934.5081
224,2019-07-04,67843118.176
225,2019-07-03,62321003.9059
226,2019-07-02,56404452.9022
227,2019-07-01,59954383.5044
228,2019-06-30,68631991.6432
229,2019-06-29,64293187.5738
230,2019-06-28,55539973.1845
231,2019-06-27,60773333.6869
232,2019-06-26,53775192.232
233,2019-06-25,65193212.5005
234,2019-06-24,66666505.4383
235,2019-06-23,51933576.0597
236,2019-06-22,48986990.18399999
237,2019-06-21,53038545.7631
238,2019-06-20,65193212.5005
239,2019-06-19,60036687.2179
240,2019-06-18,48986990.18399999
241,2019-06-17,47882020.4806
242,2019-06-16,53775192.232
243,2019-06-15,62264123.1632
244,2019-06-14,55994233.7353
245,2019-06-13,48577778.936000004
246,2019-06-12,53027651.8156
247,2019-06-11,58219170.1751
248,2019-06-10,54510942.7755
249,2019-06-09,45982019.7562
250,2019-06-08,58589992.9151
251,2019-06-07,58219170.1751
252,2019-06-06,59331638.3951
253,2019-06-05,57106701.9552
254,2019-06-04,44127906.0563
255,2019-06-03,48577778.936000004
256,2019-06-02,55994233.7353
257,2019-06-01,43386260.5764
258,2019-05-31,53664058.506000005
259,2019-05-30,57992303.1076
260,2019-05-29,54659412.1244
261,2019-05-28,55659279.4194
262,2019-05-27,54992701.2227
263,2019-05-26,46660473.7647
264,2019-05-25,50993232.0429
265,2019-05-24,52659677.5345
266,2019-05-23,55659279.4194
267,2019-05-22,50993232.0429
268,2019-05-21,53659544.8295
269,2019-05-20,54326123.0261
270,2019-05-19,50986743.4509
271,2019-05-18,50308167.4802
272,2019-05-17,48642334.12
273,2019-05-16,49641834.1361
274,2019-05-15,50641334.1523
275,2019-05-14,55638834.2331
276,2019-05-13,52640334.1846
277,2019-05-12,43311667.3671
278,2019-05-11,41645834.0068
279,2019-05-10,49975000.8082
280,2019-05-09,50641334.1523
281,2019-05-08,42312167.3509
282,2019-05-07,50308167.4802
283,2019-05-06,42978500.695
284,2019-05-05,43006075.3622
285,2019-05-04,48003251.0622
286,2019-05-03,58109198.6542
287,2019-05-02,54003657.445
288,2019-05-01,44213520.7152
289,2019-04-30,51477170.5469
