,Unnamed: 0,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades, taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date,Date,Bitcoin_Adjusted_Difficulty,f_name
0,0,2017-08-17 01:00:00,4261.48,4485.39,4200.74,4285.08,795.150377,2017-08-18 00:59:59.999,3454770.05073206,3427,616.248541,2678216.40060401,8733.91139481,2017-08-17,2017-08-17,923233068448.0,5966241.41926
1,1,2017-08-18 01:00:00,4285.08,4371.52,3938.77,4108.37,1199.888264,2017-08-19 00:59:59.999,5086958.30617151,5233,972.86871,4129123.31651808,9384.14140858,2017-08-18,2017-08-18,923233068448.0,8215055.49267
2,2,2017-08-19 01:00:00,4108.37,4184.69,3850.0,4139.98,381.309763,2017-08-20 00:59:59.999,1549483.73542151,2153,274.336042,1118001.87008735,9184.08552906,2017-08-19,2017-08-19,923233068448.0,6838230.549769999
3,3,2017-08-20 01:00:00,4120.98,4211.08,4032.62,4086.29,467.083022,2017-08-21 00:59:59.999,1930364.39032646,2321,376.795947,1557401.3337373,10125.41408414,2017-08-20,2017-08-20,923233068448.0,6930018.87929
4,4,2017-08-21 01:00:00,4069.13,4119.62,3911.79,4016.0,691.74306,2017-08-22 00:59:59.999,2797231.71402728,3972,557.356107,2255662.55315837,11706.76997007,2017-08-21,2017-08-21,923233068448.0,5966241.41926
5,5,2017-08-22 01:00:00,4016.0,4104.82,3400.0,4040.0,966.684858,2017-08-23 00:59:59.999,3752505.77214051,6494,423.995181,1637188.36934226,11773.27950025,2017-08-22,2017-08-22,923233068448.0,5277828.94781
6,6,2017-08-23 01:00:00,4040.0,4265.8,4013.89,4114.01,1001.136565,2017-08-24 00:59:59.999,4148686.46581968,8629,309.419092,1293567.09519463,12724.37533462,2017-08-23,2017-08-23,923233068448.0,4084580.66396
7,7,2017-08-24 01:00:00,4147.0,4371.68,4085.01,4316.01,787.418753,2017-08-25 00:59:59.999,3296476.41316476,6247,206.820412,868379.0641312,14231.32630532,2017-08-24,2017-08-24,923233068448.0,7297172.1974
8,8,2017-08-25 01:00:00,4316.01,4453.91,4247.48,4280.68,573.61274,2017-08-26 00:59:59.999,2484637.34936327,6554,100.097974,434577.13574645,12945.43630782,2017-08-25,2017-08-25,891643263405.0,4459277.50765
9,9,2017-08-26 01:00:00,4280.71,4367.0,4212.41,4337.44,228.108068,2017-08-27 00:59:59.999,977865.7333321,2260,56.190141,241363.80050245,11789.06750167,2017-08-26,2017-08-26,888171856257.0,4459277.50765
