BTC_volume,BTC_quote_asset_volume,BTC_number_of_trades,BTC_ taker_buy_base_asset_volume,BTC_taker_buy_quote_asset_volume,BTC_returns,ETH_returns,XRP_returns,BNB_returns,EOS_returns,XTZ_returns,LINK_returns,DIFF,Hashrate_Price_Multiple,Mining Revenue,longs_mean,shorts_mean,longs_max,shorts_max,longs_min,shorts_min,longs_close,shorts_close,longs_open,shorts_open,fundingRateClose,fundingRateDailyClose,fundingRateOpen,fundingRateDailyOpen,fundingRateMean,fundingRateDailyMean,snp_returns,exchange_outflow,exchange_inflow,stablecoin_supply_ratio,sopr,net_unrealized_profit_loss,mvrv,BTC_ma_21_rate,BTC_ma_21_std_center,BTC_ma_21_std,BTC_EMA_Cross,BTC_mayer_multiple,bitmex_OI_last,bitmex_OV_last,bitmex_OI_first,bitmex_OV_first
27453.011436,167489934.34358987,227841,13875.182356,84696142.54932348,1.0370601724653392,1.0002926543751829,0.9843113692502836,0.9115269048206588,0.9897959183673468,,1.077946127946128,6702169884350.0,50641334.1523,11731703.7301,18633.772215489218,32232.51700883629,19184.26922802,32617.62038375,18079.12891488,31938.96685348,18299.17858857,32447.14731291,19127.9740953,32385.44802679,-0.001053,-0.0031589999999999995,-0.000496,-0.0014880000000000002,-0.0007526666666666666,-0.002258,0.996978558181856,43387.09505518001,46808.90041721001,29.668913714263844,1.00888698724911,0.274862880106847,1.3793371164341437,0.12589468899711176,0.08612066773217635,0.0630883636712703,True,1.3994640133832563,607830646.5,10020984780991.623,590762377.6666666,9787549305386.334
36623.61079,231801342.43209282,283074,18548.927995,117379030.42732473,1.0264366631342623,1.0117612638970157,1.0133274552360283,1.041287130815126,0.9924536082474228,,1.046853037638607,6702169884350.0,49975000.8082,12149462.7589,18624.44506411811,31285.92828947127,19116.57228358,32379.98100908,17967.24313677,30142.86008814,19114.25799221,32379.98100908,18008.49663548,30142.86008814,-0.001063,-0.003189,-0.001058,-0.0031739999999999997,-0.0011943333333333333,-0.0035830000000000007,1.0037203210344443,48963.29898516001,42538.214044799985,30.69642563438725,1.0097723583940201,0.3004808920100092,1.4298588853004728,0.14464285653197684,0.08875480148406185,0.0631690779335146,True,1.436797749468563,700820375.5833334,11074889023272.0,603545646.4,9907017202255.1
74022.424393,507216001.3434041,562540,40091.997214999996,274656200.80251044,1.110286145547147,1.0999942166444971,1.061677989357786,1.0606272238818146,1.1244650351103171,,1.0073101596300165,6702169884350.0,41645834.0068,10770042.5755,20150.00121648931,28680.69875480101,22710.62023828,30142.72668663,17988.48008934,26631.35482767,18008.49663548,30142.72668663,22629.33849532,26631.46629105,-0.000942,-0.002826,-8.8e-05,-0.000264,-0.0005740000000000001,-0.0017220000000000002,,58907.20005503,60382.24457742999,32.91968444364637,1.03922352224363,0.3461326331780949,1.5328068932392311,0.2517770569092035,0.09396580806179104,0.0673399246924725,True,1.594317269276275,616778156.75,8865364693439.666,686510179.6666666,10876271625275.166
86948.975339,619939454.4896551,647345,42689.589675999996,304720922.9083252,0.984609014417302,0.9890115667718192,0.977682511663094,1.004205537852244,0.985108545034642,,0.975414691943128,6702169884350.0,43311667.3671,11877938.2791,22626.61426685189,26157.93373413751,23736.17835013,26744.70259991,22000.01461820001,25626.00006817,22613.21817213,26612.71869559,22249.48295851,25682.86051164,0.0001,0.00030000000000000003,0.0001,0.00030000000000000003,0.0001,0.00030000000000000003,,42123.144875450016,47607.86240249,34.65217661024373,1.0373974181735501,0.3778061585742016,1.605402522325783,0.2149973966745531,0.09837414559545883,0.06907799258271258,True,1.5690689134379447,553459578.5,7806074592982.418,616155171.5454545,8844677908174.182
85804.735333,648012612.2927014,588497,45381.262258999996,342327287.01661897,1.1181804742432877,1.0410929775131572,1.0449123033273149,1.1257622024179883,1.0349969054183312,,0.9829942301852416,6702169884350.0,52640334.1846,15580744.7154,23938.409796628726,25953.7356282529,26685.44488014,26398.21532739,22135.86962869,25669.39828425,22231.27237381,25669.39828425,26226.95058503,25684.6636064,0.0001,0.00030000000000000003,0.0001,0.00030000000000000003,0.0001,0.00030000000000000003,0.9758693690567084,73275.03320600001,72888.68107705,35.745151544913305,1.0368623142899,0.3935604255467799,1.651571338019411,0.33167516533724273,0.1053983941984333,0.07717426814950908,True,1.7520113207847148,602074415.0,7638080064886.889,548875214.3333334,7702697155896.0
76583.722603,611103206.0032724,655426,38953.032335,310810946.93725246,1.020132953222492,1.104983660130719,1.2619951248110093,1.005709791250372,1.0871070037147774,,1.278962001853568,6702169884350.0,55638834.2331,16443665.5227,25963.815742204355,26961.85089712204,27140.45994643,27647.35285626,24788.88792337,25669.23206651,26208.03790517,25669.23206651,24789.32942733,27134.38734104,0.0001,0.00030000000000000003,0.000276,0.000828,0.00020333333333333336,0.00061,1.0080160178102118,84834.99701052,77092.55227623001,38.24083026499125,1.04164810499593,0.4365390454948538,1.7740871359723769,0.3318793475929276,0.10851486929197146,0.08351121118808401,True,1.7844574847878238,577143377.1,7396333870999.2,602596486.8,7487030634845.9
37884.327211,305196285.2755824,347533,19660.576186000002,158426245.70097858,1.0279721071624497,1.1464879852125691,1.1181907090464551,1.1334288721766368,1.0775436724896654,,1.017753623188406,6702169884350.0,50641334.1523,16211651.6224,24567.017717388244,27139.45649012396,25001.53992502,27540.44911981,24002.28166602,26782.25348493,24779.73034487,27132.51655217,25001.53992502,27477.28811599,0.0001,0.00030000000000000003,0.00034700000000000003,0.0010409999999999998,0.00018233333333333334,0.0005469999999999999,1.0058389576666749,86265.40640559999,56906.03566175,38.429847631109034,1.0290047673809002,0.4381387884168948,1.776458779690112,0.33968281409549594,0.1117339354132246,0.08967865658782245,True,1.8309515997947634,588665939.5,7186911458566.3,568460655.0833334,7333139419053.918
69630.51399600001,557126171.2789642,666538,35097.404158,280897013.06816626,0.9628782342925898,1.0650947198710197,0.9156426291161937,0.980500977188978,1.0047026792896478,,1.1012222617776195,6702169884350.0,49641834.1361,16983774.4919,24717.682066779205,18544.86409231156,25528.10853475,27477.87115482,24347.80835627,16306.60629037,24985.25410305,27466.12531409,24633.06409954,17124.99786597,0.0001,0.00030000000000000003,0.000701,0.0021030000000000003,0.000333,0.000999,1.0088952493195276,71291.71437794,75942.094852,38.14787157137162,1.04781072739349,0.4325382510348977,1.7553708791209677,0.2638322122450929,0.11367869915003395,0.09209605720111758,True,1.760268022214544,621037823.1818181,7908145333178.546,590786688.875,7234922214325.0
88752.008159,645676487.3744029,803893,45121.474978,328348049.1630897,0.9349997902521932,0.9245033112582782,0.9280255993886714,0.9806267307750828,0.9292510931822382,,0.9602370689655172,6702169884350.0,48642334.12,16642489.0435,22889.510135251578,16733.704057075258,24779.69513929,17166.12935767,22270.12826398,16013.97104819,24627.474638,17123.09786592,22491.49896769,16834.62398716,0.000312,0.000936,0.0001,0.00030000000000000003,0.00035666666666666675,0.00107,0.9941626800912275,63261.52751233001,59904.42297993,34.70426054755635,0.9954813181190879,0.37704138922293423,1.6037676145278486,0.16351380423738934,0.11297712247119605,0.09158804886301687,True,1.6439911013940869,446391237.25,6291267596232.125,615186951.4285715,7839101609677.714
37054.944779000005,271170511.0509332,379504,19375.84836,141830045.16939756,0.9867020336466692,0.9562013917314776,0.9567958416962584,1.1178300587676255,0.9744834556691464,,1.0502749410840533,6702169884350.0,50308167.4802,15398528.2664,22320.095219598872,16644.48160486186,22476.23376994,17041.42100593,22205.62304676,16348.27176067,22473.98087297,16828.93887089,22433.38585246,17002.29223863,0.0001,0.00030000000000000003,-0.000118,-0.000354,-5.266666666666666e-05,-0.00015799999999999996,,28708.27176962,25316.82214778,34.742945797966684,1.00562058985662,0.3776991019418871,1.6072682175854804,0.13132333990522205,0.11162141377880584,0.09086503114341203,True,1.6204513692048763,477310448.5,6575914058573.832,445233827.14285713,6181111854095.429
