,Unnamed: 0,Unnamed: 0.1,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades, taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,upper,middle,lower,Date,ohlc,date,ma_21,ma_21_rate,ma_21_std_center,ma_21_std,MA_7,EMA_20,mayer_multiple,Mining Revenue,Hashrate_Price_Multiple,Bitcoin_Adjusted_Difficulty,exchange_inflow,exchange_outflow,stablecoin_supply_ratio,sopr,net_unrealized_profit_loss,market_value_to_realised
0,183,183,2018-02-16 00:00:00,10000.89,10323.37,9666.0,10159.98,38161.205974000004,2018-02-16 23:59:59.999,381103299.2238848,405310,18313.004466,182947133.88868245,0.0,10418.222127703666,9176.804658427842,7935.3871891520175,2018-02-16,10037.560000000001,2018-02-16,9187.465238095241,10.585234737784788,-11.466044917258557,10.789690975424334,8969.960000000012,9351.471463684222,,16527155.601,18720008.899,2874674234420.0,58875.89702321,58875.89702321,76.24077400660127,1.01256083754625,0.48209083429013294,1.9302208396230482
1,184,184,2018-02-17 00:00:00,10156.07,11075.07,10050.0,11039.55,41882.108407,2018-02-17 23:59:59.999,446012696.1692673,413585,21147.624788999998,225229265.7256356,0.0,11298.106729504276,9646.614794778829,7995.1228600533805,2018-02-17,10580.1725,2018-02-17,9165.967619047622,20.440639317325562,-11.276026781532924,11.280443821735583,9252.71000000001,9468.490611064408,,19925190.5792,22435430.5125,2874674234420.0,40223.695727210004,40223.695727210004,81.33521935367804,1.01130034131898,0.5132284884061239,2.0567103663294355
2,185,185,2018-02-18 00:00:00,11039.55,11274.0,10080.0,10383.43,61137.380728,2018-02-18 23:59:59.999,649423311.3100227,537534,29593.863774,314511909.4893312,0.0,11079.224219395988,10042.941228054726,9006.658236713463,2018-02-18,10694.244999999999,2018-02-18,9094.704761904764,14.170061281080336,-11.112754916807788,11.601124900025322,9606.409285714297,9585.229125257085,,20236577.4458,21292223.8622,2874674234420.0,43446.75389441,43446.75389441,82.02233050721983,1.00784264251583,0.5194423944347684,2.0730639124977106
3,186,186,2018-02-19 00:00:00,10375.01,11250.0,10270.33,11153.0,40831.417131,2018-02-19 23:59:59.999,443766562.68306607,366882,20619.877129,224193685.4379528,0.0,11345.157605183816,10413.281452297051,9481.405299410286,2018-02-19,10762.085000000001,2018-02-19,9090.038095238098,22.694755326081676,-10.579020211556411,12.609777646006913,9929.249285714297,9697.310637971907,,21269179.125,23149934.669,2874674234420.0,38008.23152523999,38008.23152523999,83.19108655821707,1.01207544860272,0.5211487269955094,2.0898667930374737
4,187,187,2018-02-20 00:00:00,11147.11,11786.01,11100.59,11200.99,48153.354288,2018-02-20 23:59:59.999,551573232.2429588,432197,24211.49181,277480902.01411927,0.0,11601.847188653279,10741.54617742572,9881.24516619816,2018-02-20,11308.675000000001,2018-02-20,9135.918095238096,22.60387936093997,-9.988538971729852,13.556977771250963,10303.920714285725,9850.773911579852,,22566369.915,23149934.669,2874674234420.0,50358.29327295999,50358.29327295999,88.41250759722173,1.02957444152931,0.547686756388947,2.2076196112576696
5,188,188,2018-02-21 00:00:00,11195.07,11304.03,10200.0,10437.6,68113.81875399999,2018-02-21 23:59:59.999,731537130.4921861,542340,32338.074001999998,347436564.666544,0.0,11629.846274192949,10915.175748415342,10200.505222637734,2018-02-21,10784.175,2018-02-21,9143.180000000002,14.157218823210286,-9.693568356440768,13.948156566483418,10558.525714285726,9939.669253875982,,20189469.2292,21079198.6661,2967853337740.0,58786.90222692001,58786.90222692001,83.61258508829023,1.00806287614213,0.5224284982542753,2.0840212405598075
6,189,189,2018-02-22 00:00:00,10439.02,10933.44,9679.0,9811.04,67060.16648300001,2018-02-22 23:59:59.999,682006373.869588,506273,33029.297624,336067441.6325065,0.0,11924.666229229437,10880.561513454633,9836.456797679826,2018-02-22,10215.625,2018-02-22,9171.109523809526,6.977677831991031,-9.314248670807476,14.183410051859804,10626.076785714296,9965.950753651774,,22261055.1875,25265138.8267,3007383866430.0,52981.856772909996,52981.856772909996,79.18163286897325,1.08298688560341,0.4953483636588967,1.9504369627301041
7,190,190,2018-02-23 00:00:00,9815.55,10435.0,9570.19,10131.04,57202.702370000006,2018-02-23 23:59:59.999,571800753.4709765,467480,28031.011368,280171693.07297117,0.0,11852.473088599469,10749.181007772662,9645.888926945858,2018-02-23,9987.945,2018-02-23,9231.014761904764,9.750014070062235,-8.947952481990061,14.476392645327596,10618.98892857144,9968.045443790628,,18506552.0508,22275181.5691,3007383866430.0,54253.60082454,54253.60082454,77.07976454638029,1.00506249772411,0.47227181309559085,1.8966972945015166
8,191,191,2018-02-24 00:00:00,10131.04,10496.97,9352.0,9694.51,40888.156299,2018-02-24 23:59:59.999,405618586.64803785,337918,18646.870961,185164883.45171747,0.0,11619.67343627041,10540.838717912111,9462.003999553815,2018-02-24,9918.630000000001,2018-02-24,9254.564761904765,4.753818784717083,-8.770572293383411,14.599979718455865,10524.482857142868,9963.33921102742,,19145427.8,22125683.7062,3007383866430.0,38235.88667339,38235.88667339,76.34879308234997,1.00182440730284,0.46917910227929105,1.8783741186842742
9,192,192,2018-02-25 00:00:00,9694.51,9847.0,9274.8,9590.0,28373.517586,2018-02-25 23:59:59.999,271286599.1260862,233567,13956.661533,133525539.44882144,0.0,10919.181248096997,10297.41499486097,9675.648741624946,2018-02-25,9601.5775,2018-02-25,9321.478571428575,2.88067420328008,-8.51813600269519,14.709803114628505,10368.387500000012,9928.885714598375,,18033349.182,21677190.1176,3007383866430.0,28983.950540070007,28983.950540070007,73.62035225548414,0.993352750225381,0.4486082436008981,1.813110639376392
10,193,193,2018-02-26 00:00:00,9590.0,10444.32,9350.0,10324.0,34878.292756,2018-02-26 23:59:59.999,347559259.73845184,285276,17045.768706,169936003.38761607,0.0,10701.051767097704,10150.500309971976,9599.948852846248,2018-02-26,9927.08,2018-02-26,9482.621904761909,8.872842381446986,-8.134765777295332,14.952054481634931,10249.101071428582,9928.713741778847,,20726468.25,25564134.5525,3007383866430.0,47643.21836226,47643.21836226,75.7102537826997,1.00506181313774,0.46493240908753836,1.8612759841113595
11,194,194,2018-02-27 00:00:00,10321.0,10870.0,10121.0,10569.04,30705.385123000004,2018-02-27 23:59:59.999,324295371.14146566,240542,15187.083738,160450471.4557678,0.0,10871.263469730053,10129.194693575717,9387.125917421376,2018-02-27,10470.26,2018-02-27,9621.521904761908,9.847902490032737,-7.325739340223901,14.984643734618016,10129.32750000001,9980.289576067586,,18260110.5817,21079198.6661,3007383866430.0,49022.65986427,49022.65986427,80.78493333062085,1.01534702873577,0.4957143626608916,1.981087625292642
12,195,195,2018-02-28 00:00:00,10584.33,11098.0,10300.0,10326.76,30800.983782,2018-02-28 23:59:59.999,327914696.13067526,277886,14412.84633,153537202.10196504,0.0,10934.607965334984,10162.021118913719,9389.434272492454,2018-02-28,10577.272500000001,2018-02-28,9751.415238095242,5.900115499718382,-6.652817011114755,14.92740009793865,10099.77000000001,10037.145092804565,,21592349.9667,23919658.0608,3007383866430.0,56318.39591990001,56318.39591990001,81.38704201901857,1.01517717468721,0.49816106979694236,1.9894619829504367
